"id";"title";"year";"depth";"priority";"horizontalDepth";"citingFilled";"residential_mobility_census_UK";"residential_mobility";"urban_migration_housing_market_UK";"residential_mobility_UK";"internal_migration";"internal_migration_market_UK";"housing_market_mobility_UK";"internal_migration_census_UK";"urban_migration";"internal_migration_UK";"internal_migration_housing"
"14561288049935215913";"Exploring methods and techniques for the analysis of senses of place and migration";"2013";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"2858312656343363344";"Brain drain from Turkey: an investigation of students' return intentions";"2008";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"14891540009699967015";"Cities in developing countries: fueled by rural–urban migration, lacking in tenure security, and short of affordable housing";"2015";"2";"10";"urban_migration_housing_market_UK:33";"false";"NA";"NA";"33";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"7454481611599338590";" Housing needs and policy approaches: Trends in thirteen countries";"1985";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"8517161580389850248";"Land cover change and its relation with population dynamics in Burkina Faso, West Africa";"2010";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"14044884037349844655";"Urbanization in transforming economies";"1999";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"535516588252884498";"The structure of rural-urban migration models";"1971";"2";"10";"urban_migration:50";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"50";"NA";"NA"
"1147937282676378436";"The family life cycle: Empirical or conceptual tool?";"1979";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"11131557241252180958";" Gecekondu kadınının kente özgü düşünce ve davranışlar geliştirme süreci";"1993";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"13061876124720022771";"Does Migration Make You Happy? The Influence of Migration on Subjective Well-Being.";"2011";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"5494595332907025608";"Residential mobility in Venice, 1850-1869";"1999";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"12439912413812987764";"Does housing assistance lead to dependency? Evidence from HUD administrative data";"2005";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"322101361051172365";"Factors associated with residential mobility in children with leukemia: implications for assigning exposures";"2009";"2";"10";"residential_mobility_census_UK:38,residential_mobility_UK:79";"false";"38";"NA";"NA";"79";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"7576926867391244965";"Theoretical perspectives on African migration";"2006";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"358649682146532164";"Migration Potential of Hungarian Healthcare Professionals: Dynamics of Attraction and Repulsion";"2009";"0";"2147483647";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"3931006935269291693";"Longing for the good life: Understanding emigration from a high-income country";"2007";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"1120350504124286748";"Household migration plans: a multivariate probit model";"1979";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"3021626926651641162";" The use of vacancy chains and loglinear models to analyse relationships among housing submarkets";"1984";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"10756899869496791465";"Interprovincial migration in Canada as a human capital decision";"1971";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"5366044097844003788";"The rescaling of US immigration policy: A socio-spatial analysis of enforcement in Herndon, Virginia";"2010";"0";"2147483647";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"13045990631237839465";"A simulation model of residential mobility and housing choice";"1996";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"2835491517482287344";"The Brazilian frontier in comparative perspective";"1975";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"15610681814280546573";"Self-selection among undocumented immigrants from Mexico";"2005";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"6380254597916237764";"Networking sisterhood, from the informal to the global: AkiDwA, the African and Migrant Women's Network, Ireland";"2011";"0";"2147483647";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"822600766701980473";" Rural-urban migration in Bangladesh: a micro-level study";"2001";"2";"10";"urban_migration:55";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"55";"NA";"NA"
"9493724148713349196";"Migrations-und Geschlechterforschung: Zur Genese einer komplizierten Beziehung";"2008";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"15965305209251134818";"Fiscal versus traditional market variables in Canadian migration";"1986";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"7498226003165231595";"Social class, consumption divisions and housing mobility";"1992";"2";"10";"housing_market_mobility_UK:27";"false";"NA";"NA";"NA";"NA";"NA";"NA";"27";"NA";"NA";"NA";"NA"
"14427417093546082622";" Urbanism as a Way of Life A Review and an Agenda";"1972";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"8843322077199999327";"Migration, Self-selection and Returns to Education in the WAEMU";"2010";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"14888558739248600041";"From rags to riches? Migration and intergenerational change in London's housing market, 1971–91";"2000";"2";"10";"housing_market_mobility_UK:56";"false";"NA";"NA";"NA";"NA";"NA";"NA";"56";"NA";"NA";"NA";"NA"
"241784566192145371";" Transnationale Altersmigration in Europa: sozialgeographische und gerontologische Perspektiven";"2011";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"12166246921325816066";"Flow-data analysis with geographical information systems: a visual approach";"2011";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"251441722189320199";" Exit to Europe: State, Popular Music and Normal Life in a Serbian Town";"2009";"0";"2147483647";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"11594739023798806115";"Opportunities, information networks and the migration-distance relationship";"1978";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"18205520636396449824";"On the microeconomics of internal migration";"1977";"2";"10";"internal_migration_housing:32";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"32"
"16526811746210663011";" The rise of the new second generation";"2016";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"5359152758475774506";"Global Changes and Gendered Responses: The Feminization of Migration from Georgia";"2013";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"10424015576891476832";"Cross‐national comparison of internal migration: issues and measures";"2002";"2";"10";"internal_migration:26,internal_migration_market_UK:25,internal_migration_census_UK:25,internal_migration_UK:4,internal_migration_housing:67";"false";"NA";"NA";"NA";"NA";"26";"25";"NA";"25";"NA";"4";"67"
"11605906234626258030";" The impact of climate variations on migration in sub-Saharan Africa";"2011";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"9505766258304093437";"The permanence of “temporary” migration: the “structural embeddedness” of Japanese-Brazilian immigrant workers in Japan";"1999";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"18178459729511437231";"Lūkesčių įtaka emigracijai: Lietuvos atvejis";"2008";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"16807353708131855508";"Alonso's theory of movements: developments in spatial interaction modeling";"2001";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"11078254330631802502";"Emigration in the Area of Permet";"2018";"0";"2147483647";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"17842998850622748715";"Negotiating migration, performing gender";"2015";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"3608234416964041134";"Moving house, creating home: Exploring residential mobility";"2002";"2";"10";"residential_mobility_census_UK:80,residential_mobility:29,residential_mobility_UK:74";"false";"80";"29";"NA";"74";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"17078469405170679692";"Internal Migration and Development in Vietnam";"1997";"2";"10";"internal_migration:33";"false";"NA";"NA";"NA";"NA";"33";"NA";"NA";"NA";"NA";"NA";"NA"
"10181131168411804764";" Belgrade parents and their migrant children";"2008";"0";"2147483647";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"13590445140283183000";" Eine neue Heimat?: Jüdische Emigrantinnen und Emigranten aus der Sowjetunion";"1993";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"14969696821944235671";"You can't always get what you want: The role of public housing and vouchers in achieving residential satisfaction";"2012";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"10714856482827702720";"The impact of home ownership on life satisfaction in urban China: A propensity score matching analysis";"2018";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"11286213754145999932";" Forse domani mi sposo.. Organizzazione sociale, aspetti simbolici e immaginari sulle famiglie romene in migrazione";"2009";"0";"2147483647";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"3343186467435639633";"Residential preferences and moving behavior: A family life-cycle analysis";"1982";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"16775907819193883442";"Urbanização, dinâmica migratória e sustentabilidade no semiárido nordestino: o papel das cidades no processo de adaptação ambiental";"2013";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"9897556857174071168";" Arbeits-und Lebensbedingungen von Cabaret-Tänzerinnen in der Schweiz";"2006";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"7505317209204379307";"Internal migration and household living conditions in Ethiopia";"2006";"2";"10";"internal_migration:31,internal_migration_housing:86";"false";"NA";"NA";"NA";"NA";"31";"NA";"NA";"NA";"NA";"NA";"86"
"13835450729679572124";" The Frauenstein Letters: Aspects of Nineteenth Century Emigration from the Duchy of Nassau to Australia";"2009";"0";"2147483647";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"14577617218545481660";"Household responses to major economic change in Poland: A theoretical framework";"1998";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"2857643318186324604";" Introduzione alla sociologia delle migrazioni";"2016";"0";"2147483647";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"4912981267555411055";"Migration permanence and village decline in Zacatecas: when you can't go home again";"2009";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"10157117983975677405";" Cities of Canada: Profiles of fifteen metropolitan centres";"1975";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"5987584874143138185";"养老旅游理论与实践研究";"2009";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"13803889604257779101";"The relative importance of the husband's and wife's characteristics in family migration, 1960–2000";"2010";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"6728488733836621398";"Migration and urbanization";"1988";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"4135749226148475447";"Perceptive boundaries: A proposed sociopsychological framework for housing adequacy";"1991";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"6448469982366637598";"Social geography, spatial structure and social structure";"1984";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"5942131675901482999";"Cognitive mobility: Labor market responses to supply shocks in the space of ideas";"2015";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"7402966505848634694";" The effects of urban growth: A population impact analysis";"1976";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"10510651316081750315";"From ocean to lakes: Cultural transformations of Yemenis in Kenya and Uganda";"2009";"0";"2147483647";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"13846662349459199753";" Zeit für Mobilität: räumliche Disparitäten der individuellen Zeitverwendung für Mobilität in Deutschland";"2005";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"7945300143040039066";"Place-based policy and rural poverty: insights from the urban spatial mismatch literature";"2008";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"5626030040896056234";" Interregional Migration in the USSR: Economic Aspects, 1959-1970";"1980";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"354533137783769520";"How people move to rural areas: Insights in the residential search process from a diary approach";"2015";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"17395246785362626885";" International perspectives on social work: Global conditions and local practice";"2006";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"4644037014558817094";" Relating land use and human intra-city mobility";"2015";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"3233568696085669554";"Introduction: Migration, development, and social transformation";"2009";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"84613690804724716";"Scandinavians and settlement in the eastern Irish sea region during the Viking age";"2010";"0";"2147483647";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"12854194827893627277";"Immigration, remittances and business cycles";"2012";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"7982982488979093991";"Sustaining livelihoods in multi‐local settings: possible theoretical linkages between transnational migration and livelihood studies";"2008";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"17258391612637497667";"Exiting and entering high-poverty neighborhoods: Latinos, Blacks and Anglos compared";"2005";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"11227846120620567905";"Labor migration in Europe: Experiences from Germany after unification";"1992";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"10920746563764948496";" Residential choice and household behavior: State of the Art";"2010";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"5172658892917784190";" Personal determinants and consequences of independent housing choices";"1986";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"4107168934665990841";"Polarity or integration? Towards a fuller understanding of home and homelessness";"2007";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"1139267165563803349";"Problems and solutions in the measurement of migration intensities: Australia and Britain compared";"2000";"2";"10";"internal_migration_market_UK:21,internal_migration_census_UK:37,internal_migration_UK:35";"false";"NA";"NA";"NA";"NA";"NA";"21";"NA";"37";"NA";"35";"NA"
"13101204257185944169";" Scientific diasporas as development partners: Skilled migrants from Colombia, India and South Africa in Switzerland: Empirical evidence and policy …";"2010";"0";"2147483647";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"8062711110137641860";" Determinants of United States-Japanese Foreign Direct Investment: A Comparison Across Countries and Industries";"1997";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"1925867509453269283";"More than origins: Refining migration in the Indus civilization";"2016";"0";"2147483647";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"13220369754789022098";" Migrant youth, transnational families, and the state: Care and contested interests";"2014";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"11050174590315124381";"Equilibrium and disequilibrium in migration modelling";"1993";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"16323928190174658470";" 当代国际移民理论研究的现状与趋势";"2003";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"9792937424562988829";" Limits to Satisfaction: an essay on the problem of needs and commodities";"1988";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"12705981842155471080";" DISPLACED AND MISPLACED OR JUST DISPLACED";"2010";"0";"2147483647";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"13532353898734806437";"Drivers of migration";"2012";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"6822843706541522890";"Migrační motivace, regionální a sídelní preference obyvatelstva-teoretická východiska v československé a zahraniční literatuře";"1990";"1";"1";"";"false";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
